position,driver_number,meeting_key,session_key
1,1,1141,7768
2,11,1141,7768
3,16,1141,7768
4,55,1141,7768
5,14,1141,7768
6,63,1141,7768
7,44,1141,7768
8,18,1141,7768
9,31,1141,7768
10,27,1141,7768
11,4,1141,7768
12,77,1141,7768
13,24,1141,7768
14,22,1141,7768
15,23,1141,7768
16,2,1141,7768
17,20,1141,7768
18,81,1141,7768
19,21,1141,7768
20,10,1141,7768
1,11,1142,7775
2,14,1142,7775
3,63,1142,7775
4,55,1142,7775
5,18,1142,7775
6,31,1142,7775
7,44,1142,7775
8,81,1142,7775
9,10,1142,7775
10,27,1142,7775
11,24,1142,7775
12,16,1142,7775
13,20,1142,7775
14,77,1142,7775
15,1,1142,7775
16,22,1142,7775
17,23,1142,7775
18,21,1142,7775
19,4,1142,7775
20,2,1142,7775
1,1,1143,7783
2,63,1143,7783
3,44,1143,7783
4,14,1143,7783
5,55,1143,7783
6,18,1143,7783
7,16,1143,7783
8,23,1143,7783
9,10,1143,7783
10,27,1143,7783
11,31,1143,7783
12,22,1143,7783
13,4,1143,7783
14,20,1143,7783
15,21,1143,7783
16,81,1143,7783
17,24,1143,7783
18,2,1143,7783
1,16,1207,9064
2,1,1207,9064
3,11,1207,9064
4,55,1207,9064
5,44,1207,9064
6,14,1207,9064
7,4,1207,9064
8,22,1207,9064
9,18,1207,9064
10,81,1207,9064
11,63,1207,9064
12,23,1207,9064
13,77,1207,9064
14,2,1207,9064
15,24,1207,9064
16,20,1207,9064
17,10,1207,9064
18,21,1207,9064
19,31,1207,9064
20,27,1207,9064
1,16,1207,9278
2,11,1207,9278
3,1,1207,9278
4,63,1207,9278
5,55,1207,9278
6,44,1207,9278
7,23,1207,9278
8,14,1207,9278
9,18,1207,9278
10,4,1207,9278
11,81,1207,9278
12,27,1207,9278
13,20,1207,9278
14,24,1207,9278
15,77,1207,9278
16,22,1207,9278
17,10,1207,9278
18,21,1207,9278
1,11,1208,9074
2,14,1208,9074
3,55,1208,9074
4,20,1208,9074
5,10,1208,9074
6,63,1208,9074
7,16,1208,9074
